#PREFIX_ID,#PREFIX
1,https://cdn.glitch.global/8a12e68a-154b-4206-a6d7-dadd1141b198/
2,https://cdn.glitch.me/8a12e68a-154b-4206-a6d7-dadd1141b198/
3,https://cdn.glitch.global/d8e66c1f-74c5-4053-808b-edf278b2a7e7/
4,https://cdn.glitch.global/36049008-0c55-496e-873e-a2f971037d73/
5,https://cdn.glitch.global/7faf50de-7c77-4bd4-85f5-386b2d8b7861/
6,https://cdn.glitch.global/7fb044bc-0e85-4b22-93e8-6c640ac8f5db/
7,https://cdn.glitch.me/7fb044bc-0e85-4b22-93e8-6c640ac8f5db/
8,https://cdn.glitch.global/feb59dc7-441d-47d4-937c-40b6f33573bd/
9,https://cdn.glitch.me/feb59dc7-441d-47d4-937c-40b6f33573bd/
10,https://raw.kiko-play-niptan.one/media/stream/daily/2023-12-10/RJ01074008/wav/%E6%9C%89%E9%9F%B3%E6%95%88%EF%BC%88wav%EF%BC%89/
11,https://cdn.glitch.global/df7cf604-4a43-4b0a-bf93-9a364566eccb/
12,https://cdn.glitch.me/df7cf604-4a43-4b0a-bf93-9a364566eccb/
13,https://cdn.glitch.global/7070c4f3-6ccd-486e-a713-915b4477b1fa/
14,https://cdn.glitch.me/7070c4f3-6ccd-486e-a713-915b4477b1fa/
15,https://cdn.glitch.global/43bf1b52-1acd-4635-9e88-afc9baf0e898/
16,https://cdn.glitch.me/43bf1b52-1acd-4635-9e88-afc9baf0e898/
17,https://cdn.glitch.me/36049008-0c55-496e-873e-a2f971037d73/
18,https://cdn.glitch.global/9eb27ab6-a0db-461d-9bbd-628ecc9a6769/
19,https://cdn.glitch.me/9eb27ab6-a0db-461d-9bbd-628ecc9a6769/
20,https://cdn.glitch.global/cbd0ac37-5557-4012-b498-643e6f89d54c/
21,https://cdn.glitch.me/cbd0ac37-5557-4012-b498-643e6f89d54c/
22,https://cdn.glitch.global/1d46fb5f-c750-4e6d-9785-7de06c91262f/
23,https://cdn.glitch.me/1d46fb5f-c750-4e6d-9785-7de06c91262f/
24,https://fast.kiko-play-niptan.one/media/stream/daily/2022-10-04/RJ407284/wav/
25,https://raw.kiko-play-niptan.one/media/stream/daily/2022-10-04/RJ407284/wav/
26,https://raw.kiko-play-niptan.one/media/stream/daily/2025-03-28/RJ01105494/02%EF%BC%9A%E3%80%90wav%E3%80%91%E8%88%87%E6%B6%88%E6%A5%B5%E5%86%B7%E9%85%B7%E5%A5%B3%E9%AB%98%E4%B8%AD%E7%94%9F%E7%9A%84%E7%98%8B%E7%8B%82%E8%A6%AA%E5%AF%86%E6%8E%A5%E5%90%BB%E7%94%9F%E6%B4%BB%E3%80%8C%E5%A5%BD%E5%95%8A%E2%80%A6%E5%81%9A%E5%90%A7%EF%BC%9F%E2%80%A6%E6%88%80%E4%BA%BA%E9%96%93%E7%9A%84%E7%94%9C%E8%9C%9C%E8%88%8C%E5%90%BB%E6%80%A7%E4%BA%A4%E3%80%8D/
27,https://raw.kiko-play-niptan.one/media/stream/daily/2022-12-28/RJ439902/wav/
28,https://fast.kiko-play-niptan.one/media/stream/daily/2022-12-28/RJ439902/wav/
29,https://raw.kiko-play-niptan.one/media/stream/daily/2024-05-19/RJ01172764/%E9%9F%B3%E5%A3%B0%E6%9C%AC%E7%B7%A8/WAV/
30,https://cdn.glitch.me/d0ba9ac8-9843-4269-aa9a-93830f7c36ff/
31,https://cdn.glitch.global/d0ba9ac8-9843-4269-aa9a-93830f7c36ff/
32,https://raw.kiko-play-niptan.one/media/stream/daily/2024-09-29/RJ01239843/01_%E6%AD%A3%E7%AF%87%E5%90%ABSE/
